# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.840675346939e-10       8.704767580222e-15       2.515270290311e-13       0.000000000000e+00       1.201697778187e-10      -1.254865993585e-11      -8.799259133299e-15 
   41       1.868022410320e-10       9.454097033137e-15       2.401789981675e-13       0.000000000000e+00       1.138246616909e-10      -1.175831444961e-11      -8.086448524081e-15 
   42       1.895774190406e-10       1.024374496945e-14       2.273303357196e-13       0.000000000000e+00       1.079153869364e-10      -1.102489886012e-11      -7.917625813936e-15 
   43       1.923895594110e-10       1.107441583774e-14       2.129189011669e-13       0.000000000000e+00       1.024232321714e-10      -1.034563778594e-11      -8.131189307535e-15 
   44       1.952297811576e-10       1.194676027849e-14       1.968760025529e-13       0.000000000000e+00       9.730420998649e-11      -9.714571590835e-12      -8.523347607338e-15 
   45       1.980880301755e-10       1.286136310156e-14       1.791307909096e-13       0.000000000000e+00       9.250402731477e-11      -9.124535730732e-12      -8.892696424180e-15 
   46       2.009682842645e-10       1.381870930950e-14       1.596263512294e-13       0.000000000000e+00       8.801299640949e-11      -8.574388762704e-12      -9.196019379084e-15 
   47       2.038770907235e-10       1.481920331331e-14       1.383074540179e-13       0.000000000000e+00       8.382414998536e-11      -8.063523435651e-12      -9.434605574475e-15 
   48       2.068190924633e-10       1.586317420857e-14       1.151157335290e-13       0.000000000000e+00       7.991672286668e-11      -7.589710401528e-12      -9.611188469087e-15 
   49       2.097968248818e-10       1.695087253275e-14       8.998940453075e-14       0.000000000000e+00       7.625513538930e-11      -7.148978528006e-12      -9.730042216250e-15 
   50       2.128112178380e-10       1.808248775557e-14       6.287185316470e-14       0.000000000000e+00       7.279934630135e-11      -6.736749174494e-12      -9.800113695483e-15 
   51       2.158637334591e-10       1.925821386985e-14       3.374081570420e-14       0.000000000000e+00       6.954158290104e-11      -6.351879663112e-12      -9.845197352546e-15 
   52       2.189544575026e-10       2.047819599943e-14       2.586630451465e-15       0.000000000000e+00       6.647782362762e-11      -5.993510475314e-12      -9.896688731333e-15 
   53       2.220812790610e-10       2.174250900906e-14      -3.059581293996e-14       0.000000000000e+00       6.359682980795e-11      -5.659847977814e-12      -9.991023687677e-15 
   54       2.252397206180e-10       2.305115523738e-14      -6.580693909559e-14       0.000000000000e+00       6.087966409374e-11      -5.348103745291e-12      -1.016991758379e-14 
   55       2.284248791051e-10       2.440408977681e-14      -1.030454665934e-13       0.000000000000e+00       5.830525710568e-11      -5.055214798988e-12      -1.046725647428e-14 
