# Matter power spectrum P(k) at redshift z=0
# for k=1.03438e-05 to 1.68952 h/Mpc,
# number of wavenumbers equal to 608
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.316592078220e-02       3.144779029929e+04 
       1.329248376514e-02       3.150555109991e+04 
       1.341908281708e-02       3.156055534476e+04 
       1.354571802040e-02       3.161270794308e+04 
       1.367238948086e-02       3.166213998752e+04 
       1.379909732714e-02       3.170887230993e+04 
       1.392584171050e-02       3.175294881180e+04 
       1.405262280444e-02       3.179435201705e+04 
       1.417944080438e-02       3.183316600334e+04 
       1.430629592742e-02       3.186939642154e+04 
       1.443318841207e-02       3.190307302344e+04 
       1.456011851807e-02       3.193423424961e+04 
       1.468708652619e-02       3.196294811974e+04 
       1.481409273807e-02       3.198919088856e+04 
       1.494113747611e-02       3.201301980596e+04 
       1.506822108336e-02       3.203445908628e+04 
       1.519534392343e-02       3.205357908254e+04 
       1.532250638045e-02       3.207035108560e+04 
       1.544970885901e-02       3.208487896900e+04 
       1.557695178417e-02       3.209708866507e+04 
       1.570423560146e-02       3.210707395038e+04 
       1.583156077691e-02       3.211487270367e+04 
       1.595892779709e-02       3.212050212987e+04 
       1.608633716918e-02       3.212394334660e+04 
       1.621378942108e-02       3.212531542186e+04 
       1.634128510146e-02       3.212457152636e+04 
       1.646882477995e-02       3.212181311838e+04 
       1.659640904721e-02       3.211699783953e+04 
       1.672403851517e-02       3.211015374196e+04 
       1.685171381711e-02       3.210140179967e+04 
       1.697943560795e-02       3.209066506669e+04 
       1.710720456437e-02       3.207803499143e+04 
       1.723502138510e-02       3.206347486699e+04 
       1.736288679114e-02       3.204715482560e+04 
       1.749080152602e-02       3.202882982910e+04 
       1.761876635605e-02       3.200885560366e+04 
       1.774678207067e-02       3.198714139130e+04 
       1.787484948272e-02       3.196329312633e+04 
       1.800296942875e-02       3.193814444476e+04 
       1.813114276941e-02       3.191113529401e+04 
       1.825937038976e-02       3.188225703645e+04 
       1.838765319968e-02       3.185209562256e+04 
       1.851599213425e-02       3.181991415148e+04 
       1.864438815415e-02       3.178658011754e+04 
       1.877284224610e-02       3.175103137915e+04 
       1.890135542330e-02       3.171426450685e+04 
       1.902992872588e-02       3.167620691693e+04 
       1.915856322142e-02       3.163614039666e+04 
       1.928726000539e-02       3.159513227029e+04 
       1.941602020169e-02       3.155241768392e+04 
       1.954484496322e-02       3.150833085793e+04 
       1.967373547237e-02       3.146247348966e+04 
       1.980269294164e-02       3.141565989968e+04 
       1.993171861423e-02       3.136713605748e+04 
       2.006081376463e-02       3.131749011013e+04 
       2.018997969927e-02       3.126658853289e+04 
       2.031921775719e-02       3.121413357834e+04 
       2.044852931067e-02       3.116037987822e+04 
       2.057791576599e-02       3.110544518522e+04 
       2.070737856411e-02       3.104955933869e+04 
       2.083691918144e-02       3.099235252749e+04 
       2.096653913058e-02       3.093376523164e+04 
       2.109623996116e-02       3.087412332854e+04 
       2.122602326060e-02       3.081351591011e+04 
       2.135589065503e-02       3.075147651915e+04 
       2.148584381008e-02       3.068835828555e+04 
       2.161588443185e-02       3.062451682485e+04 
       2.174601426780e-02       3.055932021466e+04 
       2.187623510771e-02       3.049296996402e+04 
       2.200654878468e-02       3.042579748465e+04 
       2.213695717615e-02       3.035767641633e+04 
       2.226746220493e-02       3.028851863914e+04 
       2.239806584030e-02       3.021849936107e+04 
       2.252877009912e-02       3.014744701835e+04 
       2.265957704700e-02       3.007529868442e+04 
       2.279048879944e-02       3.000237508724e+04 
       2.292150752313e-02       2.992862834763e+04 
       2.305263543715e-02       2.985411553741e+04 
       2.318387481430e-02       2.977860623201e+04 
       2.331522798245e-02       2.970239494367e+04 
       2.344669732592e-02       2.962537715927e+04 
       2.357828528692e-02       2.954741082169e+04 
       2.370999436702e-02       2.946890207786e+04 
       2.384182712870e-02       2.938933712301e+04 
       2.397378619689e-02       2.930957958574e+04 
       2.410587426062e-02       2.922836070793e+04 
       2.423809407471e-02       2.914716017468e+04 
       2.437044846146e-02       2.906481551561e+04 
       2.450294031251e-02       2.898192119459e+04 
       2.463557259063e-02       2.889835925332e+04 
       2.476834833166e-02       2.881433371947e+04 
       2.490127064650e-02       2.872961978555e+04 
       2.503434272311e-02       2.864427705079e+04 
       2.516756782865e-02       2.855821009687e+04 
       2.530094931169e-02       2.847170277197e+04 
       2.543449060440e-02       2.838462018045e+04 
       2.556819522493e-02       2.829718750679e+04 
       2.570206677983e-02       2.820908381928e+04 
       2.583610896652e-02       2.812042934541e+04 
       2.597032557588e-02       2.803133853749e+04 
       2.610472049496e-02       2.794182478271e+04 
       2.623929770972e-02       2.785161957478e+04 
       2.637406130789e-02       2.776112521428e+04 
       2.650901548198e-02       2.767022110987e+04 
       2.664416453232e-02       2.757883415699e+04 
       2.677951287028e-02       2.748713540863e+04 
       2.691506502155e-02       2.739487296355e+04 
       2.705082562962e-02       2.730251168129e+04 
       2.718679945925e-02       2.720960346009e+04 
       2.732299140025e-02       2.711642739119e+04 
       2.745940647125e-02       2.702278682335e+04 
       2.759604982368e-02       2.692890046462e+04 
       2.773292674590e-02       2.683467983558e+04 
       2.787004266751e-02       2.674012276477e+04 
       2.800740316374e-02       2.664522547436e+04 
       2.814501396010e-02       2.655018965840e+04 
       2.828288093719e-02       2.645488747737e+04 
       2.842101013567e-02       2.635922214561e+04 
       2.855940776149e-02       2.626337391870e+04 
       2.869808019122e-02       2.616725373825e+04 
       2.883703397775e-02       2.607093738980e+04 
       2.897627585608e-02       2.597430791544e+04 
       2.911581274943e-02       2.587765354377e+04 
       2.925565177557e-02       2.578076576767e+04 
       2.939580025347e-02       2.568358464170e+04 
       2.953626571012e-02       2.558629285468e+04 
       2.967705588775e-02       2.548888073779e+04 
       2.981817875132e-02       2.539127978899e+04 
       2.995964249633e-02       2.529357776766e+04 
       3.010145555696e-02       2.519568243964e+04 
       3.024362661457e-02       2.509769654460e+04 
       3.038616460667e-02       2.499954210862e+04 
       3.052907873610e-02       2.490130101501e+04 
       3.067237848084e-02       2.480306425114e+04 
       3.081607360410e-02       2.470464377828e+04 
       3.096017416497e-02       2.460611360742e+04 
       3.110469052957e-02       2.450757079373e+04 
       3.124963338261e-02       2.440890736767e+04 
       3.139501373969e-02       2.431015013014e+04 
       3.154084295998e-02       2.421145880637e+04 
       3.168713275967e-02       2.411254259191e+04 
       3.183389522602e-02       2.401375668472e+04 
       3.198114283208e-02       2.391486901747e+04 
       3.212888845217e-02       2.381594681756e+04 
       3.227714537814e-02       2.371692873748e+04 
       3.242592733645e-02       2.361808169564e+04 
       3.257524850613e-02       2.351910505480e+04 
       3.272512353765e-02       2.342010963927e+04 
       3.287556757281e-02       2.332115419030e+04 
       3.302659626564e-02       2.322219404616e+04 
       3.317822580451e-02       2.312313614342e+04 
       3.333047293527e-02       2.302429505943e+04 
       3.348335498583e-02       2.292534869116e+04 
       3.363688989202e-02       2.282643895716e+04 
       3.379109622482e-02       2.272751723278e+04 
       3.394599321929e-02       2.262869390496e+04 
       3.410160080501e-02       2.252994771797e+04 
       3.425793963833e-02       2.243109229203e+04 
       3.441503113652e-02       2.233239326863e+04 
       3.457289751391e-02       2.223374168245e+04 
       3.473156182019e-02       2.213505459835e+04 
       3.489104798104e-02       2.203646170125e+04 
       3.505138084123e-02       2.193795284287e+04 
