# Matter power spectrum P(k) at redshift z=0
# for k=1.03438e-05 to 1.68952 h/Mpc,
# number of wavenumbers equal to 608
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.316592078220e-02       3.134273603320e+04 
       1.329248376514e-02       3.139954797716e+04 
       1.341908281708e-02       3.145361631644e+04 
       1.354571802040e-02       3.150484613554e+04 
       1.367238948086e-02       3.155336831770e+04 
       1.379909732714e-02       3.159920357745e+04 
       1.392584171050e-02       3.164239573664e+04 
       1.405262280444e-02       3.168292729192e+04 
       1.417944080438e-02       3.172088202941e+04 
       1.430629592742e-02       3.175626545598e+04 
       1.443318841207e-02       3.178910719125e+04 
       1.456011851807e-02       3.181944547046e+04 
       1.468708652619e-02       3.184734791470e+04 
       1.481409273807e-02       3.187279082267e+04 
       1.494113747611e-02       3.189583104865e+04 
       1.506822108336e-02       3.191649268294e+04 
       1.519534392343e-02       3.193484565609e+04 
       1.532250638045e-02       3.195086127341e+04 
       1.544970885901e-02       3.196464294782e+04 
       1.557695178417e-02       3.197611675046e+04 
       1.570423560146e-02       3.198537602574e+04 
       1.583156077691e-02       3.199245852691e+04 
       1.595892779709e-02       3.199738119829e+04 
       1.608633716918e-02       3.200012531290e+04 
       1.621378942108e-02       3.200080942046e+04 
       1.634128510146e-02       3.199938687885e+04 
       1.646882477995e-02       3.199595880284e+04 
       1.659640904721e-02       3.199048300101e+04 
       1.672403851517e-02       3.198298745714e+04 
       1.685171381711e-02       3.197359287534e+04 
       1.697943560795e-02       3.196222264382e+04 
       1.710720456437e-02       3.194896807122e+04 
       1.723502138510e-02       3.193379251634e+04 
       1.736288679114e-02       3.191686612110e+04 
       1.749080152602e-02       3.189794428114e+04 
       1.761876635605e-02       3.187738229991e+04 
       1.774678207067e-02       3.185508984676e+04 
       1.787484948272e-02       3.183067347166e+04 
       1.800296942875e-02       3.180496587101e+04 
       1.813114276941e-02       3.177740819253e+04 
       1.825937038976e-02       3.174799196254e+04 
       1.838765319968e-02       3.171730239443e+04 
       1.851599213425e-02       3.168460385239e+04 
       1.864438815415e-02       3.165076314340e+04 
       1.877284224610e-02       3.161471983071e+04 
       1.890135542330e-02       3.157746911381e+04 
       1.902992872588e-02       3.153893896186e+04 
       1.915856322142e-02       3.149841230084e+04 
       1.928726000539e-02       3.145695549915e+04 
       1.941602020169e-02       3.141380479907e+04 
       1.954484496322e-02       3.136929394444e+04 
       1.967373547237e-02       3.132302570685e+04 
       1.980269294164e-02       3.127581342934e+04 
       1.993171861423e-02       3.122690420314e+04 
       2.006081376463e-02       3.117688558370e+04 
       2.018997969927e-02       3.112562424182e+04 
       2.031921775719e-02       3.107282301477e+04 
       2.044852931067e-02       3.101873603955e+04 
       2.057791576599e-02       3.096348108092e+04 
       2.070737856411e-02       3.090728779575e+04 
       2.083691918144e-02       3.084978650118e+04 
       2.096653913058e-02       3.079091800322e+04 
       2.109623996116e-02       3.073100732584e+04 
       2.122602326060e-02       3.067014351910e+04 
       2.135589065503e-02       3.060786048961e+04 
       2.148584381008e-02       3.054451098277e+04 
       2.161588443185e-02       3.048044950433e+04 
       2.174601426780e-02       3.041504509282e+04 
       2.187623510771e-02       3.034849860720e+04 
       2.200654878468e-02       3.028114070758e+04 
       2.213695717615e-02       3.021284525693e+04 
       2.226746220493e-02       3.014352353060e+04 
       2.239806584030e-02       3.007335044887e+04 
       2.252877009912e-02       3.000215449697e+04 
       2.265957704700e-02       2.992987231365e+04 
       2.279048879944e-02       2.985682419701e+04 
       2.292150752313e-02       2.978296188064e+04 
       2.305263543715e-02       2.970834237278e+04 
       2.318387481430e-02       2.963273501384e+04 
       2.331522798245e-02       2.955643393472e+04 
       2.344669732592e-02       2.947933436467e+04 
       2.357828528692e-02       2.940129431956e+04 
       2.370999436702e-02       2.932271946112e+04 
       2.384182712870e-02       2.924309634822e+04 
       2.397378619689e-02       2.916328722782e+04 
       2.410587426062e-02       2.908202528404e+04 
       2.423809407471e-02       2.900078782037e+04 
       2.437044846146e-02       2.891841404989e+04 
       2.450294031251e-02       2.883549750026e+04 
       2.463557259063e-02       2.875192031795e+04 
       2.476834833166e-02       2.866788656785e+04 
       2.490127064650e-02       2.858317140346e+04 
       2.503434272311e-02       2.849783459580e+04 
       2.516756782865e-02       2.841178070184e+04 
       2.530094931169e-02       2.832529351334e+04 
       2.543449060440e-02       2.823823809711e+04 
       2.556819522493e-02       2.815083949161e+04 
       2.570206677983e-02       2.806277713834e+04 
       2.583610896652e-02       2.797417120981e+04 
       2.597032557588e-02       2.788513628603e+04 
       2.610472049496e-02       2.779568549151e+04 
       2.623929770972e-02       2.770555108758e+04 
       2.637406130789e-02       2.761513432615e+04 
       2.650901548198e-02       2.752431489089e+04 
       2.664416453232e-02       2.743302008262e+04 
       2.677951287028e-02       2.734142057130e+04 
       2.691506502155e-02       2.724926465981e+04 
       2.705082562962e-02       2.715701655652e+04 
       2.718679945925e-02       2.706422873506e+04 
       2.732299140025e-02       2.697117977681e+04 
       2.745940647125e-02       2.687767353427e+04 
       2.759604982368e-02       2.678392770523e+04 
       2.773292674590e-02       2.668985417650e+04 
       2.787004266751e-02       2.659545079103e+04 
       2.800740316374e-02       2.650071330306e+04 
       2.814501396010e-02       2.640584317653e+04 
       2.828288093719e-02       2.631071245494e+04 
       2.842101013567e-02       2.621522437476e+04 
       2.855940776149e-02       2.611955883699e+04 
       2.869808019122e-02       2.602362667193e+04 
       2.883703397775e-02       2.592750359406e+04 
       2.897627585608e-02       2.583107222992e+04 
       2.911581274943e-02       2.573462061323e+04 
       2.925565177557e-02       2.563794041678e+04 
       2.939580025347e-02       2.554097135416e+04 
       2.953626571012e-02       2.544389602851e+04 
       2.967705588775e-02       2.534670455448e+04 
       2.981817875132e-02       2.524932835569e+04 
