#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_rho_fld       23:rho_plus_p_theta_fld    24:delta_p_fld        
       1.003163830924e+02       2.575914347394e-04      -1.448860337531e+00      -8.432694352929e-02      -4.291460282022e-03      -1.064860098862e-02      -2.139425356021e-05      -2.129790268117e-03      -1.088812604437e+00      -8.426365443640e-02       1.796653818881e-01       1.654364614546e-01      -1.280604980062e+00      -3.999016863967e-02      -4.000518104206e-01      -7.795793858275e+00       7.719855394658e-02      -1.280951776497e+00      -3.998998997572e-02      -3.997960732912e-01       3.331295840951e-01      -1.548714698932e-07       8.398386776522e-09      -3.928327498287e-08 
       1.003410974576e+02       2.576650373909e-04      -1.446377106802e+00      -8.433770991560e-02      -4.294359885684e-03      -1.065412005187e-02      -2.141483657497e-05      -2.130894724016e-03      -1.086951745273e+00      -8.427444238857e-02       1.795832596812e-01       1.653625291254e-01      -1.279583453369e+00      -3.995863506572e-02      -4.000458107434e-01      -7.797923565558e+00       7.719831364631e-02      -1.279930347750e+00      -3.995847892971e-02      -3.997901200801e-01       3.331294675281e-01      -1.549140586523e-07       8.399608143609e-09      -3.933423165921e-08 
       1.003658118227e+02       2.577386450387e-04      -1.443893289892e+00      -8.434842041905e-02      -4.297256413289e-03      -1.065975038951e-02      -2.143587981420e-05      -2.132021351191e-03      -1.085090445940e+00      -8.428517457631e-02       1.795011870398e-01       1.652886548767e-01      -1.278562733798e+00      -3.992708121363e-02      -4.000393867744e-01      -7.800053092597e+00       7.719806824771e-02      -1.278909725429e+00      -3.992694760912e-02      -3.997837430352e-01       3.331293509200e-01      -1.549566324641e-07       8.400828077114e-09      -3.938518829006e-08 
       1.003905261879e+02       2.578122576823e-04      -1.441408888726e+00      -8.435907502734e-02      -4.300151164022e-03      -1.066548410675e-02      -2.145734726744e-05      -2.133168584186e-03      -1.083228707877e+00      -8.429585098761e-02       1.794191640314e-01       1.652148386878e-01      -1.277542822099e+00      -3.989550715343e-02      -4.000325386020e-01      -7.802182439329e+00       7.719781775592e-02      -1.277889910260e+00      -3.989539608316e-02      -3.997769422372e-01       3.331292342707e-01      -1.549991913239e-07       8.402046577662e-09      -3.943614485282e-08 
       1.004218654565e+02       2.579056100277e-04      -1.438257684776e+00      -8.437250529975e-02      -4.303820926709e-03      -1.067289230526e-02      -2.148512849621e-05      -2.134650761412e-03      -1.080867285874e+00      -8.430930907863e-02       1.793152254893e-01       1.651213188778e-01      -1.276250676982e+00      -3.985544043821e-02      -4.000232448446e-01      -7.804882316834e+00       7.719749280156e-02      -1.276597886476e+00      -3.985535794544e-02      -3.997677091909e-01       3.331290862934e-01      -1.550531369528e-07       8.403589648381e-09      -3.950076063803e-08 
       1.004532047251e+02       2.579989704056e-04      -1.435105548376e+00      -8.438584564898e-02      -4.307491119270e-03      -1.068044211078e-02      -2.151348005105e-05      -2.136161184412e-03      -1.078505163660e+00      -8.432267743824e-02       1.792113669274e-01       1.650278923515e-01      -1.274959833619e+00      -3.981534148427e-02      -4.000132693059e-01      -7.807581904176e+00       7.719715967624e-02      -1.275307163212e+00      -3.981528757081e-02      -3.997577950648e-01       3.331289382499e-01      -1.551070585228e-07       8.405130417220e-09      -3.956537623151e-08 
       1.004845439937e+02       2.580923388156e-04      -1.431952483454e+00      -8.439909604965e-02      -4.311162936689e-03      -1.068812177634e-02      -2.154234927883e-05      -2.137697519039e-03      -1.076142344172e+00      -8.433595604145e-02       1.791075884086e-01       1.649345590666e-01      -1.273670293524e+00      -3.977521043440e-02      -4.000026121716e-01      -7.810281201226e+00       7.719681839047e-02      -1.274017741944e+00      -3.977518510088e-02      -3.997472000343e-01       3.331287901402e-01      -1.551609560244e-07       8.406668885458e-09      -3.962999158739e-08 
       1.005158832623e+02       2.581857152573e-04      -1.428798493937e+00      -8.441225647638e-02      -4.314837226332e-03      -1.069592076743e-02      -2.157168959598e-05      -2.139257670604e-03      -1.073778830351e+00      -8.434914486321e-02       1.790038899782e-01       1.648413189812e-01      -1.272382058204e+00      -3.973504743144e-02      -3.999912736295e-01      -7.812980207854e+00       7.719646895475e-02      -1.272729624151e+00      -3.973505067746e-02      -3.997359242784e-01       3.331286419643e-01      -1.552148294485e-07       8.408205054373e-09      -3.969460665993e-08 
       1.005472225309e+02       2.582790997305e-04      -1.425643583754e+00      -8.442532690381e-02      -4.318514563302e-03      -1.070382959465e-02      -2.160145972955e-05      -2.140839750992e-03      -1.071414625138e+00      -8.436224387849e-02       1.789002716673e-01       1.647481720529e-01      -1.271095129158e+00      -3.969485261823e-02      -3.999792538696e-01      -7.815678923932e+00       7.719611137960e-02      -1.271442811309e+00      -3.969488444254e-02      -3.997239679803e-01       3.331284937221e-01      -1.552686787859e-07       8.409738925249e-09      -3.975922140347e-08 
       1.005785617995e+02       2.583724922350e-04      -1.422487756835e+00      -8.443830730668e-02      -4.322195312064e-03      -1.071183967176e-02      -2.163162304382e-05      -2.142442050781e-03      -1.069049731475e+00      -8.437525306229e-02       1.787967334962e-01       1.646551182395e-01      -1.269809507884e+00      -3.965462613766e-02      -3.999665530841e-01      -7.818377349332e+00       7.719574567552e-02      -1.270157304896e+00      -3.965468653834e-02      -3.997113313270e-01       3.331283454138e-01      -1.553225040275e-07       8.411270499372e-09      -3.982383577242e-08 
       1.006099010681e+02       2.584658927706e-04      -1.419331017113e+00      -8.445119765982e-02      -4.325879674903e-03      -1.071994319846e-02      -2.166214694889e-05      -2.144063016181e-03      -1.066684152303e+00      -8.438817238970e-02       1.786932754770e-01       1.645621574986e-01      -1.268525195869e+00      -3.961436813262e-02      -3.999531714672e-01      -7.821075483926e+00       7.719537185303e-02      -1.268873106389e+00      -3.961445710726e-02      -3.996980145094e-01       3.331281970392e-01      -1.553763051642e-07       8.412799778031e-09      -3.988844972134e-08 
       1.006526553557e+02       2.585933264805e-04      -1.415023001164e+00      -8.446863792867e-02      -4.330911979306e-03      -1.073113630950e-02      -2.170431840053e-05      -2.146301962861e-03      -1.063455834092e+00      -8.440565249864e-02       1.785522631659e-01       1.644354867471e-01      -1.266775200010e+00      -3.955939596599e-02      -3.999338181109e-01      -7.824755918185e+00       7.719484879589e-02      -1.267123263187e+00      -3.955952391795e-02      -3.996787506277e-01       3.331279945138e-01      -1.554496639432e-07       8.414882381787e-09      -3.997659790347e-08 
       1.006954096434e+02       2.587207751375e-04      -1.410713303658e+00      -8.448591049155e-02      -4.335951062970e-03      -1.074247393183e-02      -2.174704259340e-05      -2.148569785610e-03      -1.060226253002e+00      -8.442296526243e-02       1.784114000394e-01       1.643089890309e-01      -1.265027647393e+00      -3.950436575654e-02      -3.999131984962e-01      -7.828435810653e+00       7.719431067542e-02      -1.265375860694e+00      -3.950453268050e-02      -3.996582217275e-01       3.331277918651e-01      -1.555229778196e-07       8.416960719027e-09      -4.006474510445e-08 
       1.007381639310e+02       2.588482387419e-04      -1.406401934590e+00      -8.450301528574e-02      -4.340996628535e-03      -1.075394159053e-02      -2.179026370912e-05      -2.150863596734e-03      -1.056995416513e+00      -8.444011061891e-02       1.782706860861e-01       1.641826642422e-01      -1.263282541749e+00      -3.944927786734e-02      -3.998913131365e-01      -7.832115161010e+00       7.719375751831e-02      -1.263630902661e+00      -3.944948375831e-02      -3.996364283292e-01       3.331275890930e-01      -1.555962467705e-07       8.419034793048e-09      -4.015289120966e-08 
       1.007809182186e+02       2.589757172940e-04      -1.402088903956e+00      -8.451995224909e-02      -4.346048230528e-03      -1.076552635417e-02      -2.183393340545e-05      -2.153180815304e-03      -1.053763332108e+00      -8.445708850640e-02       1.781301212869e-01       1.640565122728e-01      -1.261539886787e+00      -3.939413266154e-02      -3.998681625523e-01      -7.835793968938e+00       7.719318935123e-02      -1.261888392836e+00      -3.939437751546e-02      -3.996133709667e-01       3.331273861975e-01      -1.556694707735e-07       8.421104607154e-09      -4.024103610482e-08 
       1.008236725063e+02       2.591032107946e-04      -1.397774221759e+00      -8.453672131998e-02      -4.351105331535e-03      -1.077721662716e-02      -2.187800961912e-05      -2.155519126131e-03      -1.050530007274e+00      -8.447389886378e-02       1.779897056178e-01       1.639305330146e-01      -1.259799686197e+00      -3.933893050239e-02      -3.998437472717e-01      -7.839472234121e+00       7.719260620085e-02      -1.260148334967e+00      -3.933921431673e-02      -3.995890501880e-01       3.331271831786e-01      -1.557426498060e-07       8.423170164660e-09      -4.032917967597e-08 
       1.008664267939e+02       2.592307192447e-04      -1.393457898005e+00      -8.455332243737e-02      -4.356167344958e-03      -1.078900197397e-02      -2.192245556025e-05      -2.157876444993e-03      -1.047295449498e+00      -8.449054163048e-02       1.778494390519e-01       1.638047263591e-01      -1.258061943650e+00      -3.928367175322e-02      -3.998180678306e-01      -7.843149956244e+00       7.719200809382e-02      -1.258410732801e+00      -3.928399452760e-02      -3.995634665544e-01       3.331269800363e-01      -1.558157838457e-07       8.425231468889e-09      -4.041732180949e-08 
       1.009091810815e+02       2.593582426454e-04      -1.389139942704e+00      -8.456975554078e-02      -4.361233664763e-03      -1.080087297433e-02      -2.196723888531e-05      -2.160250889953e-03      -1.044059666274e+00      -8.450701674650e-02       1.777093215613e-01       1.636790921979e-01      -1.256326662795e+00      -3.922835677744e-02      -3.997911247721e-01      -7.846827134993e+00       7.719139505677e-02      -1.256675590084e+00      -3.922871851421e-02      -3.995366206413e-01       3.331267767705e-01      -1.558888728704e-07       8.427288523174e-09      -4.050546239208e-08 
       1.009627058546e+02       2.595179122967e-04      -1.383731941212e+00      -8.459009147970e-02      -4.367581413664e-03      -1.081584226664e-02      -2.202373612400e-05      -2.163245050818e-03      -1.040007021817e+00      -8.452740579450e-02       1.775341163388e-01       1.635220517749e-01      -1.254157712634e+00      -3.915902837713e-02      -3.997556139696e-01      -7.851429887168e+00       7.719060658121e-02      -1.254506809878e+00      -3.915943890000e-02      -3.995012334016e-01       3.331265221247e-01      -1.559803106966e-07       8.429857796535e-09      -4.061580463129e-08 
       1.010162306277e+02       2.596776053853e-04      -1.378321417961e+00      -8.461016388134e-02      -4.373933799602e-03      -1.083091752393e-02      -2.208066860565e-05      -2.166260402010e-03      -1.035952483181e+00      -8.454753187626e-02       1.773591446617e-01       1.633652813172e-01      -1.251992633430e+00      -3.908961313634e-02      -3.997181246688e-01      -7.856031786620e+00       7.718979479991e-02      -1.252341897565e+00      -3.909007246212e-02      -3.994638699099e-01       3.331262672853e-01      -1.560716778936e-07       8.432420420802e-09      -4.072614404177e-08 
       1.010697554007e+02       2.598373219151e-04      -1.372908392616e+00      -8.462997263084e-02      -4.380289716210e-03      -1.084608546203e-02      -2.213799387926e-05      -2.169294288145e-03      -1.031896065087e+00      -8.456739487783e-02       1.771844064774e-01       1.632087806110e-01      -1.249831432212e+00      -3.902011176867e-02      -3.996786579853e-01      -7.860632832745e+00       7.718895976505e-02      -1.250180860490e+00      -3.902061992346e-02      -3.994245313862e-01       3.331260122522e-01      -1.561629744188e-07       8.434976402572e-09      -4.083648040340e-08 
       1.011232801738e+02       2.599970618902e-04      -1.367492884855e+00      -8.464951761472e-02      -4.386648123855e-03      -1.086133428490e-02      -2.219567502624e-05      -2.172344350967e-03      -1.027837782262e+00      -8.458699468666e-02       1.770099017360e-01       1.630525494422e-01      -1.247674115955e+00      -3.895052498786e-02      -3.996372150532e-01      -7.865233024941e+00       7.718810152880e-02      -1.248023705960e+00      -3.895108200759e-02      -3.993832190745e-01       3.331257570253e-01      -1.562542002301e-07       8.437525748468e-09      -4.094681349660e-08 
       1.011768049469e+02       2.601568253097e-04      -1.362074914364e+00      -8.466879872089e-02      -4.393008057002e-03      -1.087665349967e-02      -2.225367978429e-05      -2.175408492514e-03      -1.023777649439e+00      -8.460633119158e-02       1.768356303945e-01       1.628965875962e-01      -1.245520691590e+00      -3.888085350787e-02      -3.995937970249e-01      -7.869832362612e+00       7.718722014331e-02      -1.245870440841e+00      -3.888145942587e-02      -3.993399341112e-01       3.331255016047e-01      -1.563453552859e-07       8.440068465162e-09      -4.105714309882e-08 
       1.012303297200e+02       2.603166121697e-04      -1.356654500837e+00      -8.468781583857e-02      -4.399368627083e-03      -1.089203375668e-02      -2.231197982057e-05      -2.178484843253e-03      -1.019715681359e+00      -8.462540428277e-02       1.766615924160e-01       1.627408948582e-01      -1.243371165994e+00      -3.881109804278e-02      -3.995484050712e-01      -7.874430845165e+00       7.718631566070e-02      -1.243721071662e+00      -3.881175288098e-02      -3.992946775600e-01       3.331252459901e-01      -1.564364395457e-07       8.442604559367e-09      -4.116746898550e-08 
       1.012838544930e+02       2.604764224667e-04      -1.351231663981e+00      -8.470656885835e-02      -4.405729020846e-03      -1.090746671433e-02      -2.237055015279e-05      -2.181571735117e-03      -1.015651892770e+00      -8.464421385177e-02       1.764877877665e-01       1.625854710129e-01      -1.241225545996e+00      -3.874125930684e-02      -3.995010403814e-01      -7.879028472011e+00       7.718538813304e-02      -1.241575604946e+00      -3.874196307697e-02      -3.992474505144e-01       3.331249901817e-01      -1.565274529691e-07       8.445134037820e-09      -4.127779093282e-08 
       1.013489934689e+02       2.606709412014e-04      -1.344628899099e+00      -8.472903461724e-02      -4.413468232700e-03      -1.092630879166e-02      -2.244216231202e-05      -2.185340517652e-03      -1.010703878588e+00      -8.466674920839e-02       1.762765844142e-01       1.623966845777e-01      -1.238619631982e+00      -3.865615514243e-02      -3.994407386315e-01      -7.884622570862e+00       7.718422833058e-02      -1.238969872864e+00      -3.865691846533e-02      -3.991873191830e-01       3.331246786044e-01      -1.566381195433e-07       8.448203466272e-09      -4.141204571877e-08 
       1.014141324447e+02       2.608654946386e-04      -1.338022609873e+00      -8.475110887942e-02      -4.421204880572e-03      -1.094520606817e-02      -2.251410733460e-05      -2.189120341861e-03      -1.005753216586e+00      -8.468889392414e-02       1.760657265378e-01       1.622082956793e-01      -1.236019524548e+00      -3.857092999495e-02      -3.993775191467e-01      -7.890215400447e+00       7.718303456799e-02      -1.236369941946e+00      -3.857175286213e-02      -3.991242731987e-01       3.331243667398e-01      -1.567486810742e-07       8.451263118646e-09      -4.154629393960e-08 
       1.014792714206e+02       2.610600827750e-04      -1.331412831877e+00      -8.477279145546e-02      -4.428937891087e-03      -1.096414820455e-02      -2.258635507359e-05      -2.192909139922e-03      -1.000799933389e+00      -8.471064781132e-02       1.758552140903e-01       1.620203039276e-01      -1.233425235707e+00      -3.848558515258e-02      -3.993113841805e-01      -7.895806959728e+00       7.718180693900e-02      -1.233775823923e+00      -3.848646754569e-02      -3.990583147276e-01       3.331240545878e-01      -1.568591374911e-07       8.454313007217e-09      -4.168053519666e-08 
       1.015444103965e+02       2.612547056085e-04      -1.324799600700e+00      -8.479408215869e-02      -4.436666309911e-03      -1.098312615249e-02      -2.265887928215e-05      -2.196705102177e-03      -9.958440556344e-01      -8.473201068503e-02       1.756450470290e-01       1.618327089313e-01      -1.230836777362e+00      -3.840012190371e-02      -3.992423360263e-01      -7.901397247676e+00       7.718054553734e-02      -1.231187530515e+00      -3.840106379767e-02      -3.989894460074e-01       3.331237421482e-01      -1.569694887240e-07       8.457353144305e-09      -4.181476909307e-08 
       1.016095493723e+02       2.614493631381e-04      -1.318182951954e+00      -8.481498080519e-02      -4.444389288310e-03      -1.100213198767e-02      -2.273165706517e-05      -2.200506643740e-03      -9.908856099730e-01      -8.475298236312e-02       1.754352253141e-01       1.616455102985e-01      -1.228254161310e+00      -3.831454153696e-02      -3.991703770174e-01      -7.906986263270e+00       7.717925045664e-02      -1.228605073435e+00      -3.831554290304e-02      -3.989176693475e-01       3.331234294210e-01      -1.570797347039e-07       8.460383542279e-09      -4.194899523367e-08 
       1.016746883482e+02       2.616440553642e-04      -1.311562921268e+00      -8.483548721378e-02      -4.452106070987e-03      -1.102115877174e-02      -2.280466844592e-05      -2.204312376896e-03      -9.859246230717e-01      -8.477356266614e-02       1.752257489086e-01       1.614587076365e-01      -1.225677399238e+00      -3.822884534114e-02      -3.990955095274e-01      -7.912574005497e+00       7.717792179053e-02      -1.226028464383e+00      -3.822990615005e-02      -3.988429871291e-01       3.331231164060e-01      -1.571898753623e-07       8.463404213555e-09      -4.208321322511e-08 
       1.017610573186e+02       2.619022548844e-04      -1.302780146420e+00      -8.486207190802e-02      -4.462327199532e-03      -1.104640872616e-02      -2.290180617754e-05      -2.209362869493e-03      -9.793428860177e-01      -8.480024667190e-02       1.749485326801e-01       1.612116324487e-01      -1.222269869395e+00      -3.811504276975e-02      -3.989917606257e-01      -7.919980930819e+00       7.717610845921e-02      -1.222621128466e+00      -3.811618235451e-02      -3.987394884618e-01       3.331227009299e-01      -1.573357503743e-07       8.467394400203e-09      -4.226116210216e-08 
       1.018474262890e+02       2.621605154121e-04      -1.293991571743e+00      -8.488796630213e-02      -4.472534884892e-03      -1.107167271223e-02      -2.299928920986e-05      -2.214416171406e-03      -9.727567904484e-01      -8.482624190169e-02       1.746719233878e-01       1.609652517899e-01      -1.218872678234e+00      -3.800104183521e-02      -3.988829084217e-01      -7.927385613404e+00       7.717423646521e-02      -1.219224121508e+00      -3.800226016305e-02      -3.986308918840e-01       3.331222849476e-01      -1.574814399504e-07       8.471367537826e-09      -4.243909505613e-08 
       1.019337952595e+02       2.624188369578e-04      -1.285197280441e+00      -8.491316999538e-02      -4.482727942686e-03      -1.109694048495e-02      -2.309708824216e-05      -2.219470233519e-03      -9.661663986353e-01      -8.485154795888e-02       1.743959209578e-01       1.607195647382e-01      -1.215485852114e+00      -3.788684554301e-02      -3.987689587726e-01      -7.934788050961e+00       7.717230602641e-02      -1.215837470695e+00      -3.788814260456e-02      -3.985172035328e-01       3.331218684587e-01      -1.576269439373e-07       8.475323655741e-09      -4.261701118439e-08 
       1.020201642299e+02       2.626772195353e-04      -1.276397355774e+00      -8.493768259515e-02      -4.492905345087e-03      -1.112220337974e-02      -2.319517852357e-05      -2.224523322821e-03      -9.595717728907e-01      -8.487616445497e-02       1.741205253175e-01       1.604745703694e-01      -1.212109417055e+00      -3.777245689895e-02      -3.986499176585e-01      -7.942188241222e+00       7.717031736057e-02      -1.212461203177e+00      -3.777383271746e-02      -3.983984297690e-01       3.331214514632e-01      -1.577722621840e-07       8.479262783408e-09      -4.279490958982e-08 
       1.021065332003e+02       2.629356631580e-04      -1.267591881054e+00      -8.496150371686e-02      -4.503066195457e-03      -1.114745405580e-02      -2.329353909307e-05      -2.229573971062e-03      -9.529729755672e-01      -8.490009100943e-02       1.738457363979e-01       1.602302677572e-01      -1.208743398740e+00      -3.765787890902e-02      -3.985257911822e-01      -7.949586181948e+00       7.716827068530e-02      -1.209095345693e+00      -3.765933353815e-02      -3.982745770560e-01       3.331210339606e-01      -1.579173945423e-07       8.483184950446e-09      -4.297278937756e-08 
       1.021929021707e+02       2.631941678171e-04      -1.258780939648e+00      -8.498463298391e-02      -4.513209707866e-03      -1.117268629072e-02      -2.339215219643e-05      -2.234620933690e-03      -9.463700690567e-01      -8.492332724984e-02       1.735715541477e-01       1.599866559728e-01      -1.205387822516e+00      -3.754311457937e-02      -3.983965855687e-01      -7.956981870924e+00       7.716616621813e-02      -1.205739922838e+00      -3.754464804671e-02      -3.981456513850e-01       3.331206159509e-01      -1.580623408687e-07       8.487090186751e-09      -4.315064963982e-08 
       1.023258273987e+02       2.635921358339e-04      -1.245210067019e+00      -8.501887721102e-02      -4.528785513324e-03      -1.121147163184e-02      -2.354438076413e-05      -2.242378800464e-03      -9.362000525614e-01      -8.495773913281e-02       1.731507621527e-01       1.596130755156e-01      -1.200243919014e+00      -3.736613063220e-02      -3.981878239146e-01      -7.968359721303e+00       7.716281494560e-02      -1.200596238103e+00      -3.736778539877e-02      -3.979373317829e-01       3.331199716261e-01      -1.582850551423e-07       8.493067487799e-09      -4.342434330605e-08 
       1.024587526266e+02       2.639902483531e-04      -1.231626747716e+00      -8.505148050455e-02      -4.544316443609e-03      -1.125018512966e-02      -2.369712729971e-05      -2.250122304423e-03      -9.260206785311e-01      -8.499051375631e-02       1.727314068445e-01       1.592411257683e-01      -1.195124897855e+00      -3.718872339172e-02      -3.979670703769e-01      -7.979732225063e+00       7.715932809153e-02      -1.195477412198e+00      -3.719049932565e-02      -3.977170330591e-01       3.331193260988e-01      -1.585073279406e-07       8.499004867612e-09      -4.369798528358e-08 
       1.025916778546e+02       2.643885053576e-04      -1.218031286364e+00      -8.508244160195e-02      -4.559800652750e-03      -1.128881435466e-02      -2.385035650313e-05      -2.257848959516e-03      -9.158321749444e-01      -8.502164987283e-02       1.723134880191e-01       1.588708033104e-01      -1.190030846770e+00      -3.701090381517e-02      -3.977343493417e-01      -7.991099374497e+00       7.715570644716e-02      -1.190383531424e+00      -3.701280073069e-02      -3.974847791439e-01       3.331186793681e-01      -1.587291587758e-07       8.504902437277e-09      -4.397157231441e-08 
       1.027246030825e+02       2.647869068501e-04      -1.204423987858e+00      -8.511175928488e-02      -4.575236537968e-03      -1.132734931561e-02      -2.400404005359e-05      -2.265556767389e-03      -9.056347699822e-01      -8.505114627891e-02       1.718970054480e-01       1.585021047080e-01      -1.184961851605e+00      -3.683268285791e-02      -3.974896858757e-01      -8.002461162042e+00       7.715195080303e-02      -1.185314681808e+00      -3.683470056545e-02      -3.972405951793e-01       3.331180314333e-01      -1.589505471729e-07       8.510760308641e-09      -4.424510117103e-08 
       1.028575283105e+02       2.651854528533e-04      -1.190805157359e+00      -8.513943237900e-02      -4.590622683575e-03      -1.136578189915e-02      -2.415815503016e-05      -2.273244105283e-03      -8.954286920209e-01      -8.507900181500e-02       1.714819588758e-01       1.581350265144e-01      -1.179917996313e+00      -3.665407147273e-02      -3.972331057240e-01      -8.013817580279e+00       7.714806194900e-02      -1.180270949077e+00      -3.665620982835e-02      -3.969845075213e-01       3.331173822935e-01      -1.591714926701e-07       8.516578594299e-09      -4.451856865651e-08 
       1.029904535385e+02       2.655841434105e-04      -1.177175100278e+00      -8.516545975389e-02      -4.605957819731e-03      -1.140410545729e-02      -2.431268265955e-05      -2.280909643535e-03      -8.852141696248e-01      -8.510521536533e-02       1.710683480189e-01       1.577695652709e-01      -1.174899362956e+00      -3.647508060910e-02      -3.969646353074e-01      -8.025168621929e+00       7.714404067427e-02      -1.175252418649e+00      -3.647733956331e-02      -3.967165437427e-01       3.331167319479e-01      -1.593919948181e-07       8.522357407588e-09      -4.479197160457e-08 
       1.032622491257e+02       2.663998061397e-04      -1.149271713806e+00      -8.521355132812e-02      -4.637150529036e-03      -1.148210617063e-02      -2.462987475046e-05      -2.296511493181e-03      -8.643029509619e-01      -8.515369930003e-02       1.702270953468e-01       1.570273160534e-01      -1.164716478521e+00      -3.610795812390e-02      -3.963787903721e-01      -8.048361619001e+00       7.713540937812e-02      -1.165069687834e+00      -3.611046360528e-02      -3.961317803424e-01       3.331153984128e-01      -1.598414793231e-07       8.534051105907e-09      -4.535079137418e-08 
       1.035340447130e+02       2.672160730548e-04      -1.121325284473e+00      -8.525474912719e-02      -4.668116235806e-03      -1.155959098843e-02      -2.494862363593e-05      -2.312010185975e-03      -8.433593413665e-01      -8.519530525467e-02       1.693918416953e-01       1.562917827709e-01      -1.154640037143e+00      -3.573938832734e-02      -3.957435882222e-01      -8.071532048363e+00       7.712623447090e-02      -1.154993303153e+00      -3.574213954017e-02      -3.954977141493e-01       3.331140598265e-01      -1.602891049899e-07       8.545581243540e-09      -4.590930094868e-08 
       1.038058403002e+02       2.680329440802e-04      -1.093338432026e+00      -8.528904515939e-02      -4.698846808592e-03      -1.163653077137e-02      -2.526884787895e-05      -2.327399893895e-03      -8.223853013412e-01      -8.523002536067e-02       1.685625842115e-01       1.555629353768e-01      -1.144670668229e+00      -3.536946461445e-02      -3.950592802924e-01      -8.094679853226e+00       7.711652267197e-02      -1.145023887880e+00      -3.537246048686e-02      -3.948145945754e-01       3.331127161826e-01      -1.607348685845e-07       8.556948822956e-09      -4.646747360008e-08 
       1.040776358875e+02       2.688504194544e-04      -1.065313779984e+00      -8.531643222847e-02      -4.729334711524e-03      -1.171290245424e-02      -2.559048306693e-05      -2.342676003814e-03      -8.013827941815e-01      -8.525785254225e-02       1.677393194846e-01       1.548407436086e-01      -1.134808966797e+00      -3.499828024290e-02      -3.943261300892e-01      -8.117804979354e+00       7.710628068725e-02      -1.135162054868e+00      -3.500152016595e-02      -3.940826913383e-01       3.331113674740e-01      -1.611787671105e-07       8.568154859648e-09      -4.702528311419e-08 
       1.043494314747e+02       2.696684991663e-04      -1.037253955204e+00      -8.533690391262e-02      -4.759572674521e-03      -1.178868574273e-02      -2.591347200999e-05      -2.357834456824e-03      -7.803537856548e-01      -8.527878049660e-02       1.669220439112e-01       1.541251770002e-01      -1.125055494356e+00      -3.462592830741e-02      -3.935444127922e-01      -8.140907374972e+00       7.709551520912e-02      -1.125408364400e+00      -3.462941154248e-02      -3.933022793015e-01       3.331100136943e-01      -1.616207978556e-07       8.579200384250e-09      -4.758270340159e-08 
       1.049593226509e+02       2.715064143584e-04      -9.741751147696e-01      -8.535764555776e-02      -4.826478323293e-03      -1.195650097746e-02      -2.664288805065e-05      -2.391401612130e-03      -7.330797780784e-01      -8.530060539200e-02       1.651099097078e-01       1.525434474619e-01      -1.103565860914e+00      -3.378662343736e-02      -3.916150443769e-01      -8.192664635539e+00       7.706948722943e-02      -1.103917875326e+00      -3.379064788816e-02      -3.913760338339e-01       3.331069574141e-01      -1.626058757912e-07       8.603407038999e-09      -4.883196815236e-08 
       1.055692138271e+02       2.733473722921e-04      -9.109621763818e-01      -8.534348999657e-02      -4.892009422241e-03      -1.212105364258e-02      -2.737824389280e-05      -2.424316363610e-03      -6.857045110255e-01      -8.528761632128e-02       1.633278599922e-01       1.509945723807e-01      -1.082629136608e+00      -3.294295210931e-02      -3.894460430184e-01      -8.244306685775e+00       7.704093212419e-02      -1.082979837648e+00      -3.294751182789e-02      -3.892104407743e-01       3.331038754958e-01      -1.635815141459e-07       8.626822795624e-09      -5.007885798423e-08 
       1.061791050033e+02       2.751913726632e-04      -8.476449458682e-01      -8.529440542954e-02      -4.956086478793e-03      -1.228214835293e-02      -2.811893871751e-05      -2.456539633838e-03      -6.382502877576e-01      -8.523978272764e-02       1.615758335013e-01       1.494781975835e-01      -1.062249907446e+00      -3.209595317509e-02      -3.870411171306e-01      -8.295833067537e+00       7.700992472650e-02      -1.062598813515e+00      -3.210104037855e-02      -3.868091988404e-01       3.331007678697e-01      -1.645476958134e-07       8.649459973914e-09      -5.132309473100e-08 
       1.067889961794e+02       2.770384154673e-04      -7.842532673891e-01      -8.521038004767e-02      -5.018630112690e-03      -1.243959314853e-02      -2.886435512076e-05      -2.488033030273e-03      -5.907394395090e-01      -8.515709399224e-02       1.598537596910e-01       1.479939644663e-01      -1.042431900026e+00      -3.124665710863e-02      -3.844042617435e-01      -8.347243383414e+00       7.697653945224e-02      -1.042778529489e+00      -3.125226287677e-02      -3.841763007478e-01       3.330976344670e-01      -1.655044102307e-07       8.671331203728e-09      -5.256440837811e-08 
       1.073988873556e+02       2.788885010331e-04      -7.208170037673e-01      -8.509142148792e-02      -5.079560732759e-03      -1.259319542547e-02      -2.961384659906e-05      -2.518758031365e-03      -5.431943107884e-01      -8.503955888662e-02       1.581615587636e-01       1.465415104447e-01      -1.023178008396e+00      -3.039608463713e-02      -3.815397445092e-01      -8.398537293963e+00       7.694085028699e-02      -1.023521902173e+00      -3.040219955193e-02      -3.813160192960e-01       3.330944752194e-01      -1.664516531430e-07       8.692449396246e-09      -5.380253716522e-08 
