#scalar perturbations for mode k = 7.010000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]         21:cs2_ncdm[0]           22:delta_rho_fld       23:rho_plus_p_theta_fld    24:delta_p_fld        
       1.000503907667e+00       2.162754985297e-06      -1.214224907267e+00       1.486932432353e-03       4.990935081512e-09       1.247733770378e-08       1.651488484080e-15       2.495467540756e-09      -9.106686804503e-01       1.486932432353e-03       5.987742919851e-01       6.966900803406e-01      -1.214224907249e+00       1.486608398265e-03       1.970457207169e-04      -9.106686804775e-01       1.487602368835e-03      -1.214232382212e+00       1.486617582086e-03       1.970469295174e-04       3.333333189730e-01      -1.225547094099e-08       2.003813866703e-11       1.163251660210e-08 
       1.000516000532e+00       2.162781175500e-06      -1.214224638093e+00       1.486949975581e-03       4.991114841821e-09       1.247778710455e-08       1.651587965911e-15       2.495557420910e-09      -9.106684785698e-01       1.486949975581e-03       5.987743547217e-01       6.966901536279e-01      -1.214224638070e+00       1.486625929732e-03       1.970505142037e-04      -9.106684786051e-01       1.487619936334e-03      -1.214232113036e+00       1.486635113668e-03       1.970517230343e-04       3.333333189726e-01      -1.225544558974e-08       2.003834136924e-11       1.163249541617e-08 
       1.000528093396e+00       2.162807365705e-06      -1.214224368934e+00       1.486967518817e-03       4.991294606476e-09       1.247823651619e-08       1.651687452547e-15       2.495647303238e-09      -9.106682767008e-01       1.486967518817e-03       5.987744174559e-01       6.966902269115e-01      -1.214224368906e+00       1.486643461206e-03       1.970553077471e-04      -9.106682767442e-01       1.487637503841e-03      -1.214231843875e+00       1.486652645257e-03       1.970565166077e-04       3.333333189723e-01      -1.225542023908e-08       2.003854407133e-11       1.163247423064e-08 
       1.000599886999e+00       2.162962853226e-06      -1.214222771294e+00       1.487071670658e-03       4.992361933018e-09       1.248090483255e-08       1.652278189438e-15       2.496180966509e-09      -9.106670784706e-01       1.487071670658e-03       5.987747898474e-01       6.966906619077e-01      -1.214222771235e+00       1.486747543215e-03       1.970837674909e-04      -9.106670785622e-01       1.487741799788e-03      -1.214230246215e+00       1.486756727940e-03       1.970849765290e-04       3.333333189702e-01      -1.225526974786e-08       2.003974748193e-11       1.163234846334e-08 
       1.000671680603e+00       2.163118340788e-06      -1.214221174195e+00       1.487175822770e-03       4.993429412795e-09       1.248357353199e-08       1.652869095764e-15       2.496714706397e-09      -9.106658806466e-01       1.487175822770e-03       5.987751621498e-01       6.966910967710e-01      -1.214221174105e+00       1.486851625485e-03       1.971122292262e-04      -9.106658807863e-01       1.487846096027e-03      -1.214228649089e+00       1.486860810875e-03       1.971134384405e-04       3.333333189681e-01      -1.225511927725e-08       2.004095088795e-11       1.163222271004e-08 
       1.000743474206e+00       2.163273828391e-06      -1.214219577638e+00       1.487279975155e-03       4.994497045817e-09       1.248624261454e-08       1.653460171561e-15       2.497248522909e-09      -9.106646832286e-01       1.487279975155e-03       5.987755343633e-01       6.966915315015e-01      -1.214219577517e+00       1.486955708018e-03       1.971406929528e-04      -9.106646834164e-01       1.487950392560e-03      -1.214227052497e+00       1.486964894062e-03       1.971419023421e-04       3.333333189661e-01      -1.225496882723e-08       2.004215428940e-11       1.163209697073e-08 
       1.000815267810e+00       2.163429316034e-06      -1.214217981622e+00       1.487384127812e-03       4.995564832096e-09       1.248891208024e-08       1.654051416867e-15       2.497782416048e-09      -9.106634862164e-01       1.487384127812e-03       5.987759064877e-01       6.966919660992e-01      -1.214217981470e+00       1.487059790812e-03       1.971691586708e-04      -9.106634864523e-01       1.488054689385e-03      -1.214225456438e+00       1.487068977502e-03       1.971703682338e-04       3.333333189640e-01      -1.225481839780e-08       2.004335768626e-11       1.163197124541e-08 
       1.000962220931e+00       2.163747581209e-06      -1.214214716450e+00       1.487597316985e-03       4.997750943848e-09       1.249437735962e-08       1.655262155686e-15       2.498875471924e-09      -9.106610373373e-01       1.487597316985e-03       5.987766679056e-01       6.966928552561e-01      -1.214214716234e+00       1.487272836953e-03       1.972274308806e-04      -9.106610376717e-01       1.488268173719e-03      -1.214222191154e+00       1.487282024934e-03       1.972286407952e-04       3.333333189598e-01      -1.225451055051e-08       2.004582088480e-11       1.163171394397e-08 
       1.001109174052e+00       2.164065846555e-06      -1.214211453542e+00       1.487810507298e-03       4.999937697846e-09       1.249984424462e-08       1.656473605164e-15       2.499968848923e-09      -9.106585901568e-01       1.487810507298e-03       5.987774289510e-01       6.966937438571e-01      -1.214211453263e+00       1.487485884191e-03       1.972857114338e-04      -9.106585905899e-01       1.488481659278e-03      -1.214218928102e+00       1.487495073423e-03       1.972869216948e-04       3.333333189556e-01      -1.225420278941e-08       2.004828406413e-11       1.163145670108e-08 
       1.001256127173e+00       2.164384112072e-06      -1.214208192899e+00       1.488023698748e-03       5.002125094185e-09       1.250531273546e-08       1.657685765617e-15       2.501062547093e-09      -9.106561446740e-01       1.488023698749e-03       5.987781896242e-01       6.966946319027e-01      -1.214208192556e+00       1.487698932526e-03       1.973440003305e-04      -9.106561452057e-01       1.488695146063e-03      -1.214215667281e+00       1.487708122968e-03       1.973452109325e-04       3.333333189513e-01      -1.225389511445e-08       2.005074722425e-11       1.163119951673e-08 
       1.001403080295e+00       2.164702377761e-06      -1.214204934517e+00       1.488236891337e-03       5.004313132960e-09       1.251078283240e-08       1.658898637357e-15       2.502156566480e-09      -9.106537008875e-01       1.488236891337e-03       5.987789499252e-01       6.966955193934e-01      -1.214204934110e+00       1.487911981956e-03       1.974022975706e-04      -9.106537015180e-01       1.488908634073e-03      -1.214212408689e+00       1.487921173570e-03       1.974035085086e-04       3.333333189471e-01      -1.225358752560e-08       2.005321036514e-11       1.163094239089e-08 
       1.001550033416e+00       2.165020643621e-06      -1.214201678395e+00       1.488450085063e-03       5.006501814267e-09       1.251625453567e-08       1.660112220698e-15       2.503250907133e-09      -9.106512587964e-01       1.488450085063e-03       5.987797098545e-01       6.966964063293e-01      -1.214201677925e+00       1.488125032480e-03       1.974606031542e-04      -9.106512595256e-01       1.489122123307e-03      -1.214209152327e+00       1.488134225227e-03       1.974618144230e-04       3.333333189429e-01      -1.225328002280e-08       2.005567348679e-11       1.163068532351e-08 
       1.002226296939e+00       2.166485273401e-06      -1.214186723143e+00       1.489431195843e-03       5.016582190817e-09       1.254145547704e-08       1.665706190740e-15       2.508291095409e-09      -9.106400423574e-01       1.489431195843e-03       5.987832021886e-01       6.967004807811e-01      -1.214186722379e+00       1.489105483716e-03       1.977290271477e-04      -9.106400435415e-01       1.490104595104e-03      -1.214194195580e+00       1.489114681202e-03       1.977302398766e-04       3.333333189234e-01      -1.225186603361e-08       2.006700827726e-11       1.162950307801e-08 
       1.002902560462e+00       2.167949906837e-06      -1.214171815581e+00       1.490412330627e-03       5.026676185892e-09       1.256669046473e-08       1.671315268040e-15       2.513338092946e-09      -9.106288616860e-01       1.490412330627e-03       5.987866866838e-01       6.967045435314e-01      -1.214171814524e+00       1.490085958058e-03       1.979976278406e-04      -9.106288633260e-01       1.491087092746e-03      -1.214179285978e+00       1.490095159613e-03       1.979988419414e-04       3.333333189039e-01      -1.225045386123e-08       2.007834265905e-11       1.162832206692e-08 
       1.003578823985e+00       2.169414543955e-06      -1.214156955564e+00       1.491393489348e-03       5.036783808851e-09       1.259195952213e-08       1.676939483342e-15       2.518391904426e-09      -9.106177166730e-01       1.491393489348e-03       5.987901633729e-01       6.967085946168e-01      -1.214156954212e+00       1.491066455438e-03       1.982664052368e-04      -9.106177187698e-01       1.492069616167e-03      -1.214164423550e+00       1.491075660606e-03       1.982676206493e-04       3.333333188844e-01      -1.224904350109e-08       2.008967663111e-11       1.162714228684e-08 
