# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_fld            15:(.)w_fld              16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_tot            19:(.)p_tot              20:(.)p_tot_prime        21:gr.fac. D             22:gr.fac. f          
       8.065578922741e+13       1.161873813180e-25       5.746187525801e-09       1.403579193480e+22       1.381093236026e+04       1.712329950838e-10       1.113931649483e+18       3.317706751373e-09       1.164451092389e+44       1.430313751322e+33       7.151568756612e+33       2.679457045994e+43       8.931523486648e+42       4.642861798256e-06      -9.500000000000e-01       5.376377552945e+43       1.970034552369e+44       1.970034552369e+44       6.566781840943e+43      -4.571028787074e+52       7.763279148429e-06       1.398641299539e+00 
       7.979346461238e+13       1.187122151463e-25       5.808033165522e-09       1.373727132763e+22       1.381093236026e+04       1.730835028576e-10       1.102022142552e+18       3.353561068626e-09       1.115445515164e+44       1.384926246287e+33       6.924631231434e+33       2.566692894674e+43       8.555642982246e+42       4.635381925594e-06      -9.500000000000e-01       5.150114305754e+43       1.887126235290e+44       1.887126235290e+44       6.290420784024e+43      -4.331844343138e+52       7.879992034740e-06       1.377925610716e+00 
       7.894035946874e+13       1.212919154079e-25       5.871697794646e-09       1.344509981380e+22       1.381093236026e+04       1.749540089911e-10       1.090239965117e+18       3.389802861989e-09       1.068502323054e+44       1.340979002600e+33       6.704895013002e+33       2.458674389059e+43       8.195581296863e+42       4.627914103366e-06      -9.500000000000e-01       4.933373279896e+43       1.807707090030e+44       1.807707090030e+44       6.025690299831e+43      -4.105175505838e+52       7.996704921053e-06       1.357814617910e+00 
       7.809637522728e+13       1.239276743752e-25       5.935362423770e-09       1.315914235743e+22       1.381093236026e+04       1.768447296057e-10       1.078583755845e+18       3.426436318888e-09       1.023534721195e+44       1.298426317096e+33       6.492131585478e+33       2.355201810064e+43       7.850672700212e+42       4.620458312156e-06      -9.500000000000e-01       4.725753735524e+43       1.731630275831e+44       1.731630275831e+44       5.772100919178e+43      -3.890367381373e+52       8.113417807367e-06       1.338282225163e+00 
       7.726141437266e+13       1.266207102552e-25       5.999027052894e-09       1.287926679469e+22       1.381093236026e+04       1.787558831584e-10       1.067052167959e+18       3.463465672020e-09       9.804595674597e+43       1.257223936883e+33       6.286119684414e+33       2.256083843722e+43       7.520279479072e+42       4.613014532583e-06      -9.500000000000e-01       4.526871797807e+43       1.658755131688e+44       1.658755131688e+44       5.529183772042e+43      -3.686799344030e+52       8.230130693681e-06       1.319303816799e+00 
       7.643538043208e+13       1.293722676937e-25       6.064510671422e-09       1.260534377266e+22       1.381093236026e+04       1.806876904672e-10       1.055643869078e+18       3.500895199803e-09       9.391972187335e+43       1.217329013330e+33       6.086645066648e+33       2.161137227456e+43       7.203790758188e+42       4.605582745296e-06      -9.500000000000e-01       4.336359747174e+43       1.588946916270e+44       1.588946916270e+44       5.296489720655e+43      -3.493883243064e+52       8.346843579995e-06       1.300856153933e+00 
       7.561817796419e+13       1.321836184164e-25       6.129994289950e-09       1.233724668958e+22       1.381093236026e+04       1.826403747363e-10       1.044357541069e+18       3.538729226915e-09       8.996713836576e+43       1.178700057500e+33       5.893500287499e+33       2.070186411243e+43       6.900621370811e+42       4.598162930973e-06      -9.500000000000e-01       4.153865339420e+43       1.522076558795e+44       1.522076558795e+44       5.073588529080e+43      -3.311061703407e+52       8.463556466309e-06       1.282917279540e+00 
       7.480971254804e+13       1.350560618052e-25       6.195477908477e-09       1.207485163630e+22       1.381093236026e+04       1.846141615821e-10       1.033191879891e+18       3.576972124774e-09       8.618089815724e+43       1.141296897007e+33       5.706484485037e+33       1.983063233028e+43       6.610210776759e+42       4.590755070327e-06      -9.500000000000e-01       3.979051154435e+43       1.458020420387e+44       1.458020420387e+44       4.860068067729e+43      -3.137806515295e+52       8.580269352623e-06       1.265466431285e+00 
       7.400989077217e+13       1.379909254230e-25       6.262780516408e-09       1.181803733907e+22       1.381093236026e+04       1.866092790593e-10       1.022145595444e+18       3.615628312024e-09       8.255400073962e+43       1.105080634238e+33       5.525403171192e+33       1.899606607805e+43       6.332022026018e+42       4.583359144099e-06      -9.500000000000e-01       3.811593972331e+43       1.396660065476e+44       1.396660065476e+44       4.655533551366e+43      -2.973617108162e+52       8.696982238939e-06       1.248483961328e+00 
       7.321862022383e+13       1.409895657245e-25       6.330083124340e-09       1.156668510342e+22       1.381093236026e+04       1.886259576872e-10       1.011217411423e+18       3.654702255075e-09       7.907974021903e+43       1.070013605899e+33       5.350068029497e+33       1.819662229786e+43       6.065540765953e+42       4.575975133062e-06      -9.500000000000e-01       3.651184175835e+43       1.337882042817e+44       1.337882042817e+44       4.459606809175e+43      -2.818019104381e+52       8.813695125255e-06       1.231951262567e+00 
       7.243580947828e+13       1.440533686259e-25       6.399204721674e-09       1.132067875936e+22       1.381093236026e+04       1.906644304762e-10       1.000406065165e+18       3.694198468597e-09       7.575169291715e+43       1.036059343850e+33       5.180296719248e+33       1.743082287092e+43       5.810274290308e+42       4.568603018021e-06      -9.500000000000e-01       3.497525177823e+43       1.281577675725e+44       1.281577675725e+44       4.271925585543e+43      -2.670562948692e+52       8.930408011572e-06       1.215850700615e+00 
